Platform;Played;Name;OpenCritic;Genre;Multiplayer;Source
PS4;X;God of War;95;Adventure;Online;ESSENTIAL/EXTRA
PS4/PS5; ;Star Wars Jedi: Fallen Order;83;Action;Online;ESSENTIAL
PS4;X;Celeste;93;Platformer;Online;BOUGHT/EXTRA
PS4;X;Undertale;93;RPG;Online;EXTRA
PS4; ;Injustice 2;88;Fighting;Both;ESSENTIAL
PS5;X;Demon�s Souls;92;RPG;Online;EXTRA
PS4; ;Mafia: The Definitive Edition;80;Shooter;Online;ESSENTIAL
PS4/PS5; ;Tails of Iron;83;Action;Online;ESSENTIAL
PS4; ;Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition;92;RPG;Online;EXTRA
PS4;X;Uncharted 4: A Thief�s End;92;Adventure;Online;COLLECTION/EXTRA
PS4;X;Bloodborne;91;RPG;Online;ESSENTIAL/EXTRA
PS4/VR;X;Dreams;91;Adventure;Local;ESSENTIAL/EXTRA
PS4;X;Hollow Knight: Voidheart Edition;91;Platformer;Online;ESSENTIAL/EXTRA
PS4/PS5; ;Death's Door;88;Action;Online;ESSENTIAL
PS4;X;Shadow of the Colossus;91;Adventure;Online;ESSENTIAL/EXTRA
PS4/PS5; ;Alan Wake Remastered;80;Horror;Online;ESSENTIAL
PS5; ;Devil May Cry 5: Special Edition;90;Action;Online;EXTRA
PS4;X;Horizon Zero Dawn Complete Edition;90;Adventure;Online;BOUGHT/EXTRA
PS4/PS5; ;Evil Dead: The Game;74;Shooter;Online;ESSENTIAL
PS4/PS5; ;Chivalry 2;82;Action;Online;ESSENTIAL
PS4;X;Rayman Legends;90;Platfortmer;Local;ESSENTIAL/EXTRA
PS4/VR; ;Tetris Effect: Connected;90;Puzzle;Online;EXTRA
PS4;i;Cid Meier's Civilization VI;89;Strategy;Online;EXTRA
PS4;X;Dead Cells;89;Platformer;Online;EXTRA
PS4/PS5; ;Doom Eternal;89;Shooter;Online;EXTRA
PS4;i;Odin Sphere Leifthrasir;89;RPG;Online;EXTRA
PS5; ;Ratchet & Clank: Rift Apart;89;Action;Online;EXTRA
PS4/VR;X;Rez Infinite;89;Music;Online;ESSENTIAL/EXTRA
PS4;X;Rogue Legacy 2;89;Platformer;Online;EXTRA
PS4/PS5;X;Sea of Stars;89;RPG;Online;EXTRA
PS5;X;Final Fantasy VII Remake Intergrade;88;RPG;Online;ESSENTIAL/EXTRA
PS4/PS5;X;Horizon Forbidden West;88;Action;Online;EXTRA
PS4/PS5; ;It Takes Two;88;Puzzle;Both;EXTRA
PS5; ;Uncharted Legacy of Thieves Collection;88;Adventure;Online;EXTRA
